Postcode,Avg asking price,Avg asking price (studio),Avg asking price (1 bed),Avg asking price (2 bed),Avg asking price (3 bed),Avg asking price (4 bed),Avg asking price (5 bed),Avg asking £/sqft,Avg sold £/sqft,Avg blended £/sqft,Sales per month,Turnover (sale),Avg asking rent (pm),"Avg asking rent (studio, pm)","Avg asking rent (1 bed, pm)","Avg asking rent (2 bed, pm)","Avg asking rent (3 bed, pm)","Avg asking rent (4 bed, pm)","Avg asking rent (5 bed, pm)","Avg asking rent HMO (double, pm)","Avg asking rent HMO (double ensuite, pm)",Avg yield,Turnover (rental),1yr,3yr,5yr,Crime rate,UK region,Population,Degree,Deprivation,AB,Avg. household income,Avg. bedrooms,Social rent,Private rent
AL1,"523,572",,"283,737","439,081","646,923","897,361",,613,586,599,19.0,12%,"1,293",,"1,011","1,436",,,,,,3.0%,132%,8%,13%,17%,95,East of England,"36,253",52%,15%,49%,"61,500",2.0,15%,20%
AL2,"531,414",,"241,667","369,023","548,408","749,996",,512,469,491,11.0,11%,"1,350",,,,,,,,,3.0%,132%,2%,5%,11%,83,East of England,"23,314",36%,18%,32%,"51,800",3.0,10%,12%
AL3,"598,768",,"254,000","459,403","621,463","855,185",,607,540,573,16.0,20%,"1,267",,,,,,,,,2.5%,117%,5%,12%,19%,82,East of England,"27,971",49%,14%,44%,"59,000",3.0,15%,13%
AL4,"630,719",,"235,833","363,044","639,677","907,969",,585,530,557,13.0,19%,"1,271",,,,,,,,,2.4%,,1%,4%,15%,66,East of England,"27,203",42%,14%,42%,"56,200",3.0,12%,10%
AL5,"698,319",,"257,989","435,266","707,021","1,024,857",,642,581,612,16.0,16%,"1,441",,,"1,257",,,,,,2.5%,140%,-1%,-1%,19%,55,East of England,"30,449",52%,10%,56%,"63,200",3.0,8%,12%
AL6,"717,362",,,,"574,231","788,997",,475,461,468,6.0,23%,,,,,,,,,,,,7%,14%,4%,57,East of England,"11,179",36%,17%,47%,"58,500",3.0,9%,8%
AL7,"354,002",,"217,321","285,172","420,102","563,833",,444,413,428,14.0,19%,"1,088",,,,,,,,,3.7%,113%,4%,8%,12%,114,East of England,"33,930",27%,22%,23%,"46,800",2.0,38%,9%
AL8,"496,779",,"281,667","396,000","537,229","874,583",,492,485,489,4.0,11%,"1,221",,,,,,,,,3.0%,,-7%,9%,7%,120,East of England,"13,362",39%,18%,38%,"52,300",3.0,23%,8%
AL9,"604,093",,,"380,947","626,082","894,684",,,471,471,5.0,8%,"1,334",,,,,,,,,2.7%,,13%,16%,19%,102,East of England,"10,636",30%,21%,35%,"48,800",3.0,9%,13%
AL10,"355,632",,,"288,313","387,203","521,663",,410,385,398,14.0,24%,"1,559",,948,"1,192","1,422","1,611","2,282",523,,5.3%,59%,3%,11%,16%,135,East of England,"35,360",27%,22%,18%,"43,100",3.0,33%,24%
B1,"222,292",,"176,389","262,608","425,212",,,348,336,342,4.0,1%,957,,822,"1,100",,,,,,5.2%,127%,-17%,4%,14%,277,West Midlands,"8,512",53%,20%,36%,"43,600",2.0,24%,52%
B2,"168,504",,,,,,,,362,362,,,,,,,,,,,,,,,,,"3,006",West Midlands,653,46%,22%,30%,"51,600",0.0,16%,77%
B3,"211,215",,"178,323","253,893",,,,344,331,338,3.0,4%,916,,838,"1,104",,,,,,5.2%,95%,4%,6%,28%,340,West Midlands,"2,226",52%,19%,47%,"50,900",1.0,10%,67%
B4,"268,277",,"234,023","343,347",,,,,,,,,"1,046",,889,,,,,,,4.7%,140%,,,,602,West Midlands,"4,332",21%,36%,17%,"24,100",2.0,24%,63%
B5,"236,127",,"177,534","249,484","353,935",,,342,306,324,2.0,1%,967,,795,"1,086",,,,,,4.9%,95%,-5%,3%,23%,336,West Midlands,"12,003",39%,28%,24%,"39,600",2.0,36%,31%
B6,"158,738",,,,,,,,135,135,3.0,17%,,,,,,,,,,,,18%,22%,36%,165,West Midlands,"18,812",15%,47%,7%,"30,800",3.0,33%,18%
B7,,,,,,,,,151,151,,,"1,327",,,,,,,,,,,,,,176,West Midlands,"8,548",12%,47%,5%,"28,000",2.0,72%,7%
B8,"196,493",,,,"198,657",,,,152,152,6.0,18%,719,,,,,,,,,4.4%,,11%,19%,40%,121,West Midlands,"42,231",12%,46%,7%,"31,500",3.0,26%,19%
B9,"186,962",,,,"193,750",,,,159,159,7.0,29%,"1,020",,,,,,,,,6.5%,,10%,24%,41%,147,West Midlands,"24,915",14%,45%,9%,"32,900",3.0,28%,21%
B10,"200,887",,,,"190,996",,,,149,149,5.0,14%,,,,,,,,,,,,4%,22%,42%,130,West Midlands,"26,004",12%,48%,8%,"31,800",3.0,22%,22%
B11,"193,478",,,"157,685","199,412",,,,173,173,13.0,46%,,,,,,,,,,,,3%,17%,36%,103,West Midlands,"44,391",15%,45%,9%,"34,100",3.0,20%,22%
B12,"216,479",,"185,645","245,539",,,,353,212,283,3.0,3%,799,,,,,,,,,4.4%,98%,-13%,25%,26%,165,West Midlands,"20,547",16%,47%,12%,"34,800",3.0,40%,23%
B13,"273,742",,"122,841","202,374","309,425","440,215",,,243,243,20.0,28%,797,,623,802,,,,452,,3.5%,127%,17%,28%,43%,102,West Midlands,"37,667",37%,29%,29%,"40,100",3.0,21%,22%
B14,"249,837",,,"186,664","255,824","399,997",,,234,234,22.0,38%,861,,,,896,,,424,,4.1%,140%,12%,26%,41%,122,West Midlands,"42,930",25%,32%,19%,"40,200",3.0,25%,11%
B15,"265,146",,"160,798","240,300","431,150",,,355,361,358,7.0,6%,968,,824,994,,,,499,,4.4%,101%,13%,22%,22%,161,West Midlands,"17,553",47%,22%,36%,"38,800",3.0,29%,26%
B16,"207,098",,"142,016","190,196","254,855",,,291,290,290,4.0,4%,818,,722,"1,020",,"1,092",,429,560,4.7%,80%,2%,14%,62%,155,West Midlands,"23,618",37%,31%,25%,"38,000",2.0,27%,41%
B17,"359,508",,"157,996","244,427","382,837","551,434",,,316,316,13.0,12%,"1,121",,578,887,"1,101","1,862","2,069",434,,3.7%,52%,13%,14%,32%,110,West Midlands,"25,625",43%,23%,43%,"46,000",3.0,14%,27%
B18,"213,857",,,"227,777","175,490",,,,185,185,2.0,3%,921,,,"1,013",,,,387,,5.2%,140%,-2%,-9%,-9%,225,West Midlands,"16,337",25%,37%,13%,"33,400",2.0,38%,27%
B19,"233,620",,,,,,,,132,132,,,657,,,,,,,,,3.4%,,8%,5%,22%,156,West Midlands,"20,152",13%,47%,6%,"30,800",2.0,58%,12%
B20,"269,311",,,,"244,909","340,417",,,182,182,8.0,16%,866,,,,,,,,,3.9%,140%,3%,28%,43%,120,West Midlands,"34,752",23%,36%,14%,"35,000",3.0,23%,21%
B21,"187,678",,,,"180,861",,,,139,139,7.0,19%,,,,,,,,,,,,17%,23%,46%,174,West Midlands,"29,626",16%,42%,8%,"32,200",3.0,25%,23%
B23,"190,317",,,"141,660","210,181","283,458",,,181,181,21.0,22%,712,,,723,,,,360,486,4.5%,140%,8%,9%,34%,175,West Midlands,"42,858",19%,36%,13%,"35,300",2.0,26%,19%
B24,"221,681",,,"159,790","231,245","342,308",,,207,207,13.0,28%,671,,,,,,,,,3.6%,122%,12%,20%,31%,137,West Midlands,"28,259",20%,33%,17%,"36,300",3.0,21%,18%
B25,"191,142",,,,"198,746",,,,188,188,3.0,10%,806,,,,,,,,,5.1%,,8%,22%,35%,146,West Midlands,"15,860",15%,39%,10%,"34,300",3.0,25%,17%
B26,"232,063",,,"179,637","241,247","334,546",,,227,227,19.0,23%,870,,,,,,,,,4.5%,,4%,15%,27%,121,West Midlands,"32,456",17%,31%,13%,"38,200",3.0,14%,11%
B27,"215,270",,,"156,164","222,496",,,,208,208,9.0,26%,743,,,,,,,,,4.1%,,2%,13%,28%,133,West Midlands,"25,331",19%,36%,15%,"36,600",3.0,24%,19%
B28,"301,566",,,"213,119","293,277","409,444",,,252,252,17.0,46%,780,,,,,,,,,3.1%,,3%,7%,25%,78,West Midlands,"30,345",25%,28%,25%,"41,100",3.0,8%,14%
B29,"237,621",,"166,400","192,990","243,777","369,583",,,244,244,13.0,16%,"1,583",688,671,947,"1,064","1,562","2,085",425,554,8.0%,57%,-3%,12%,16%,130,West Midlands,"42,519",30%,26%,19%,"38,600",3.0,22%,30%
B30,"254,735",,,"192,305","269,420","412,327",,,246,246,16.0,38%,948,,,,,,,443,,4.5%,101%,4%,20%,38%,97,West Midlands,"29,537",32%,26%,30%,"42,600",3.0,21%,16%
B31,"204,331",,,"170,976","220,810","342,000",,,216,216,21.0,28%,770,,,739,,,,,,4.5%,140%,9%,16%,33%,128,West Midlands,"53,794",20%,32%,16%,"38,900",3.0,26%,11%
B32,"206,960",,,"159,546","218,475",,,,204,204,16.0,30%,860,,,,871,,,,,5.0%,89%,3%,16%,28%,138,West Midlands,"38,342",20%,34%,15%,"37,500",3.0,32%,11%
B33,"193,209",,,"158,947","206,123",,,,188,188,11.0,30%,757,,,,,,,,,4.7%,,11%,12%,38%,146,West Midlands,"34,483",12%,41%,7%,"31,800",3.0,35%,13%
B34,"197,697",,,"176,207","203,896",,,,193,193,7.0,24%,,,,,,,,,,,,6%,18%,39%,130,West Midlands,"18,941",11%,43%,8%,"32,000",3.0,34%,9%
B35,"153,993",,,,,,,,165,165,2.0,67%,,,,,,,,,,,,9%,14%,35%,158,West Midlands,"9,931",9%,44%,6%,"30,000",3.0,56%,5%
B36,"254,419",,,,"243,775","349,118",,,224,224,13.0,24%,944,,,,922,,,,,4.5%,,7%,12%,36%,105,West Midlands,"34,865",12%,37%,11%,"36,700",3.0,28%,8%
B37,"199,413",,,"164,375","193,048","337,857",,,203,203,12.0,29%,741,,,,,,,,,4.5%,,8%,7%,39%,142,West Midlands,"35,871",11%,37%,9%,"34,600",3.0,38%,8%
B38,"213,618",,,"168,839","223,946",,,,215,215,7.0,32%,,,,,,,,,,,,15%,25%,38%,136,West Midlands,"20,223",18%,36%,15%,"36,600",3.0,34%,8%
B42,"203,221",,,,"207,049",,,,216,216,12.0,27%,780,,,,,,,,,4.6%,,4%,11%,28%,91,West Midlands,"23,647",17%,30%,16%,"40,200",3.0,7%,17%
B43,"251,918",,,"157,499","242,455","334,406",,,221,221,19.0,41%,846,,,,,,,,,4.0%,,7%,14%,33%,71,West Midlands,"28,796",21%,26%,18%,"39,500",3.0,7%,9%
B44,"185,998",,,"168,421","190,336",,,,189,189,19.0,34%,783,,,,,,,,,5.1%,,11%,18%,38%,113,West Midlands,"37,447",13%,38%,9%,"35,100",3.0,23%,13%
B45,"242,836",,,"163,300","239,346","440,860",,296,234,265,18.0,35%,765,,,,,,,,,3.8%,,-6%,5%,17%,111,West Midlands,"30,271",21%,29%,20%,"40,900",3.0,18%,9%
B46,"297,660",,,"194,997","290,427","479,579",,,273,273,7.0,24%,,,,,,,,,,,,9%,16%,27%,91,West Midlands,"12,153",24%,20%,24%,"45,200",3.0,8%,12%
B47,"347,974",,,,"331,842",,,,304,304,5.0,26%,,,,,,,,,,,,11%,7%,17%,63,West Midlands,"9,560",20%,27%,28%,"43,400",3.0,10%,5%
B48,"408,292",,,,,,,,319,319,4.0,37%,,,,,,,,,,,,5%,3%,33%,63,West Midlands,"5,685",32%,21%,35%,"45,600",3.0,9%,9%
B49,"325,436",,,,"330,133",,,,294,294,8.0,29%,,,,,,,,,,,,8%,26%,32%,72,West Midlands,"10,097",30%,19%,27%,"42,300",3.0,15%,12%
B50,"342,828",,,,,,,,278,278,5.0,22%,,,,,,,,,,,,10%,12%,34%,106,West Midlands,"5,507",31%,17%,28%,"44,600",3.0,11%,10%
B60,"328,683",,,"203,798","300,969","490,596",,284,282,283,20.0,48%,800,,,,,,,,,2.9%,140%,6%,20%,28%,72,West Midlands,"27,158",31%,19%,31%,"47,800",3.0,13%,9%
B61,"296,234",,,"224,115","270,263","442,379",,285,264,275,15.0,37%,754,,,,,,,,,3.1%,,1%,6%,36%,100,West Midlands,"24,312",29%,20%,24%,"41,900",3.0,15%,10%
B62,"274,474",,,"203,331","271,368","409,115",,272,240,256,13.0,20%,770,,,,,,,,,3.4%,,1%,19%,31%,64,West Midlands,"24,112",23%,25%,22%,"42,100",3.0,10%,9%
B63,"230,824",,,"158,430","242,209","339,476",,230,210,220,19.0,25%,710,,,,,,,,,3.7%,,5%,15%,29%,75,West Midlands,"36,588",21%,27%,18%,"40,300",3.0,18%,11%
B64,"213,482",,,"157,556","221,538",,,,191,191,8.0,18%,702,,,,,,,,,3.9%,,3%,,30%,120,West Midlands,"16,616",15%,35%,13%,"34,500",3.0,28%,13%
B65,"196,023",,,"154,874","204,736","308,000",,,188,188,11.0,24%,721,,,,,,,,,4.4%,,8%,14%,33%,105,West Midlands,"23,581",12%,36%,11%,"33,800",3.0,28%,9%
B66,"185,199",,,"159,271","211,762",,,,189,189,5.0,11%,778,,,,,,,,,5.0%,,7%,1%,40%,156,West Midlands,"21,491",19%,40%,10%,"33,000",3.0,34%,22%
B67,"219,715",,,"179,661","223,951",,,,189,189,15.0,33%,861,,,,,,,,,4.7%,,13%,19%,40%,81,West Midlands,"29,853",22%,36%,17%,"35,000",3.0,21%,18%
B68,"226,457",,,"151,872","231,774",,,,193,193,13.0,31%,812,,,,,,,,,4.3%,122%,11%,22%,41%,87,West Midlands,"30,924",18%,35%,14%,"35,000",3.0,21%,11%
B69,"182,023",,,"136,433","195,930",,,,184,184,11.0,25%,715,,,,,,,,,4.7%,140%,14%,23%,32%,121,West Midlands,"29,011",14%,34%,10%,"34,500",3.0,27%,12%
B70,"200,902",,,"152,676","213,598",,,,183,183,5.0,9%,702,,,,,,,,,4.2%,,10%,18%,20%,188,West Midlands,"27,772",12%,44%,7%,"29,200",3.0,36%,14%
B71,"202,215",,,"133,275","221,649",,,,182,182,10.0,26%,,,,,,,,,,,,15%,23%,49%,116,West Midlands,"30,933",14%,39%,10%,"33,200",3.0,30%,12%
B72,"387,321",,,"218,667","375,000","508,929",,,288,288,5.0,12%,822,,,,,,,,,2.5%,,1%,26%,34%,94,West Midlands,"9,660",39%,17%,38%,"49,500",3.0,4%,13%
B73,"362,110",,,"221,921","361,250","519,750",,,290,290,13.0,17%,859,,,,,,,,,2.8%,,,20%,35%,75,West Midlands,"23,071",36%,19%,36%,"46,300",3.0,7%,13%
B74,"380,250",,"152,750","209,487","362,162","610,964","984,643",,311,311,27.0,29%,"1,105",,,,,,,,,3.5%,95%,14%,28%,45%,42,West Midlands,"32,007",34%,17%,38%,"47,800",3.0,4%,8%
B75,"380,307",,,"243,774","340,846","561,154","824,615",,303,303,17.0,21%,"1,007",,,,,,,,,3.2%,138%,2%,9%,26%,66,West Midlands,"26,863",34%,19%,32%,"47,700",3.0,12%,9%
B76,"350,236",,,"228,821","341,249","478,636",,,299,299,18.0,31%,,,,,,,,,,,,3%,13%,26%,67,West Midlands,"21,509",29%,21%,32%,"46,700",3.0,6%,9%
B77,"238,875",,"110,445","177,011","236,473","366,267",,,232,232,28.0,25%,728,,,,,,,,,3.7%,140%,4%,12%,24%,78,West Midlands,"57,031",16%,26%,15%,"41,700",3.0,19%,10%
B78,"272,495",,,"193,832","257,109","379,572",,,237,237,13.0,17%,762,,,,,,,,,3.4%,,2%,8%,31%,93,West Midlands,"24,227",17%,26%,19%,"42,200",3.0,16%,11%
B79,"276,697",,,"190,952","249,223","405,026",,,242,242,14.0,18%,787,,,,,,,,,3.4%,,-5%,2%,32%,92,West Midlands,"22,298",19%,27%,18%,"38,300",3.0,20%,13%
B80,"299,544",,,,"295,354",,,,257,257,4.0,29%,,,,,,,,,,,,-7%,3%,21%,90,West Midlands,"7,055",18%,27%,26%,"42,900",3.0,14%,11%
B90,"325,273",,"156,492","217,137","333,376","484,361","669,000",315,321,318,38.0,22%,"1,011",,,893,"1,218",,,,,3.7%,140%,1%,11%,22%,77,West Midlands,"45,652",31%,19%,32%,"49,000",3.0,7%,12%
B91,"407,917",,"179,238","253,720","408,839","672,018","814,279",378,348,363,19.0,15%,"1,117",,,912,,,,,,3.3%,127%,12%,22%,34%,75,West Midlands,"33,236",41%,15%,45%,"53,300",3.0,5%,11%
B92,"294,898",,,"211,857","303,816","477,445",,305,289,297,27.0,29%,967,,,799,"1,201",,,,,3.9%,127%,6%,11%,23%,75,West Midlands,"36,116",29%,22%,27%,"44,600",3.0,11%,12%
B93,"581,014",,,"339,711","466,957","730,830","973,750",447,410,428,15.0,23%,"1,234",,,,,,,,,2.5%,,3%,10%,28%,43,West Midlands,"19,498",45%,13%,51%,"55,200",3.0,5%,8%
B94,"720,343",,,,,"766,500",,,375,375,6.0,26%,,,,,,,,,,,,6%,12%,42%,76,West Midlands,"7,297",42%,13%,42%,"54,100",3.0,6%,9%
B95,"583,663",,,,,,,,350,350,4.0,16%,,,,,,,,,,,,-7%,-5%,4%,57,West Midlands,"5,994",34%,18%,36%,"45,400",3.0,13%,12%
B96,"429,780",,,,,,,,275,275,4.0,23%,,,,,,,,,,,,2%,12%,22%,42,West Midlands,"4,968",24%,22%,35%,"47,000",3.0,7%,12%
B97,"253,274",,,"172,532","267,888","374,043",,258,258,258,23.0,65%,713,,,,,,,,,3.4%,,7%,12%,31%,92,West Midlands,"33,402",23%,24%,24%,"42,000",3.0,16%,12%
B98,"223,098",,,"176,957","218,358","358,182",,221,225,223,24.0,49%,756,,,,,,,,,4.1%,,10%,19%,37%,107,West Midlands,"49,780",18%,27%,14%,"39,600",3.0,24%,12%
BA1,"465,029",,"252,786","366,705","517,542","770,694","1,400,000",471,416,444,31.0,23%,"1,637",,982,"1,307","1,728","2,056",,575,,4.2%,80%,8%,7%,17%,117,South West,"40,588",46%,17%,38%,"45,600",2.0,15%,27%
BA2,"438,902",,"252,679","337,422","446,304","624,942","1,058,571",434,365,399,38.0,19%,"1,913","1,101",957,"1,254","1,613","2,038","2,606",537,,5.2%,59%,2%,6%,14%,66,South West,"73,554",38%,19%,30%,"44,000",3.0,16%,18%
BA3,"320,734",,,"229,086","315,560","477,879",,,268,268,18.0,23%,789,,,,,,,,,3.0%,,1%,9%,17%,60,South West,"34,594",23%,20%,20%,"42,400",3.0,12%,12%
BA4,"307,196",,,"188,631","314,865","471,663",,,249,249,11.0,28%,797,,,,,,,,,3.1%,,2%,9%,19%,61,South West,"17,612",26%,20%,20%,"41,600",3.0,12%,18%
BA5,"368,584",,,"243,377","346,085","513,200",,,291,291,17.0,23%,945,,,,,,,,,3.1%,,8%,11%,22%,67,South West,"17,731",34%,19%,29%,"41,600",3.0,11%,15%
BA6,"359,976",,,"225,850","313,800","442,273",,,256,256,11.0,32%,,,,,,,,,,,,1%,10%,16%,114,South West,"12,839",26%,24%,22%,"38,800",3.0,12%,17%
BA7,"332,438",,,,,,,,263,263,2.0,15%,,,,,,,,,,,,15%,32%,44%,53,South West,"3,640",29%,18%,22%,"44,900",3.0,15%,15%
BA8,"337,079",,,,"334,091",,,,246,246,2.0,15%,,,,,,,,,,,,-14%,10%,31%,51,South West,"4,165",26%,20%,22%,"41,300",3.0,15%,12%
BA9,"264,004",,,"180,464","291,227",,,273,244,258,11.0,48%,,,,,,,,,,,,1%,3%,22%,77,South West,"7,197",27%,19%,20%,"41,800",3.0,13%,17%
BA10,"425,938",,,,,,,,267,267,3.0,30%,,,,,,,,,,,,15%,43%,33%,34,South West,"3,843",30%,19%,24%,"41,800",3.0,13%,15%
BA11,"364,348",,,"246,290","350,738","537,980",,365,298,331,26.0,38%,968,,,917,,,,,,3.2%,,5%,15%,35%,77,South West,"32,599",27%,21%,22%,"42,200",3.0,12%,15%
BA12,"326,187",,,"238,902","316,766","458,926",,325,268,296,19.0,26%,840,,,,,,,,,3.1%,,10%,16%,31%,70,South West,"28,537",26%,19%,22%,"42,000",3.0,13%,19%
BA13,"277,113",,,"213,242","271,541","402,170",,282,258,270,15.0,21%,735,,,,,,,,,3.2%,,-5%,7%,15%,62,South West,"20,302",23%,21%,20%,"42,900",3.0,13%,15%
BA14,"285,365",,"122,935","195,487","284,407","384,918","500,417",263,253,258,46.0,63%,792,,,781,,,,,,3.3%,140%,7%,14%,22%,93,South West,"48,041",26%,20%,22%,"45,500",3.0,13%,15%
BA15,"474,643",,,,"437,826","633,333",,,359,359,10.0,30%,,,,,,,,,,,,-4%,2%,14%,50,South West,"12,995",44%,16%,40%,"47,600",3.0,13%,11%
BA16,"247,294",,,,"265,300",,,,246,246,9.0,72%,,,,,,,,,,,,3%,12%,23%,64,South West,"13,011",22%,24%,19%,"37,100",3.0,14%,16%
BA20,"201,170",,"104,612","170,429","236,406",,,,229,229,12.0,49%,624,,574,,,,,,,3.7%,,,17%,23%,184,South West,"11,221",24%,19%,23%,"42,700",2.0,10%,16%
BA21,"214,465",,"95,329","180,999","235,216","356,765",,,216,216,21.0,48%,731,,,,,,,437,,4.1%,,2%,7%,14%,103,South West,"33,314",19%,24%,16%,"40,100",3.0,19%,15%
BA22,"321,731",,,"205,415","300,131","525,526",,290,260,275,9.0,17%,,,,,,,,,,,,17%,24%,39%,41,South West,"17,975",24%,21%,27%,"43,400",3.0,11%,16%
BB1,"144,281",,,"112,935","158,018","250,327",,,138,138,34.0,39%,537,,,,,,,,,4.5%,122%,10%,17%,27%,135,North West,"66,802",19%,33%,14%,"34,100",3.0,20%,14%
BB2,"140,615",,"68,746","98,435","151,888","302,016",,123,147,135,38.0,25%,541,,,506,,,,,,4.6%,105%,-1%,-2%,23%,186,North West,"59,833",21%,30%,15%,"37,500",3.0,18%,16%
BB3,"139,623",,,"98,160","153,384","290,537",,140,127,133,29.0,36%,594,,,588,,,,,,5.1%,117%,4%,21%,25%,139,North West,"34,127",21%,27%,16%,"37,100",3.0,11%,18%
BB4,"213,980",,,"144,086","229,384","363,990",,,162,162,38.0,22%,640,,,632,,,,,,3.6%,,8%,21%,31%,128,North West,"41,137",26%,25%,22%,"39,000",3.0,14%,13%
BB5,"128,442",,,"91,668","152,916","253,361",,,115,115,40.0,27%,529,,,502,,,,,,4.9%,95%,9%,21%,21%,178,North West,"61,415",18%,32%,13%,"34,400",3.0,14%,18%
BB6,"155,605",,,"115,713","169,097",,,,141,141,13.0,33%,,,,,,,,,,,,5%,13%,13%,105,North West,"14,602",23%,29%,17%,"39,400",3.0,9%,18%
BB7,"240,482",,,"156,799","253,327","410,509",,280,224,252,25.0,17%,752,,,,,,,,,3.8%,140%,-3%,8%,11%,83,North West,"31,637",34%,18%,29%,"42,100",3.0,10%,15%
BB8,"155,244",,,"104,153","168,694","337,639",,,135,135,21.0,21%,557,,,552,,,,,,4.3%,113%,12%,20%,38%,150,North West,"23,032",18%,34%,15%,"36,000",3.0,15%,18%
BB9,"125,174",,,"92,818","155,760","292,116",,,84,84,29.0,26%,505,,,501,,,,,,4.8%,140%,27%,40%,47%,158,North West,"44,577",19%,35%,13%,"33,700",2.0,12%,20%
BB10,"134,736",,,"99,093","139,638","281,441",,,105,105,26.0,29%,517,,,,,,,,,4.6%,87%,14%,19%,24%,150,North West,"37,158",19%,32%,14%,"34,400",3.0,12%,17%
BB11,"115,666",,,"72,856","132,643","190,328",,,92,92,13.0,13%,412,,391,,,,,377,420,4.3%,55%,12%,18%,27%,319,North West,"22,417",16%,38%,12%,"33,500",2.0,19%,21%
BB12,"149,139",,,"88,601","181,655","281,590",,161,146,154,28.0,32%,487,,,,,,,,,3.9%,,6%,17%,29%,134,North West,"34,620",21%,28%,16%,"37,300",3.0,11%,18%
BB18,"167,088",,,"132,312","174,630","247,872",,,140,140,17.0,39%,,,,,,,,,,,,8%,20%,17%,84,North West,"17,061",19%,26%,16%,"38,100",3.0,8%,17%
BD1,"56,558",,"48,199","63,049",,,,,151,151,3.0,4%,518,,456,,,,,,,11.0%,140%,14%,3%,9%,"1,198",North West,"3,790",25%,39%,15%,"31,600",2.0,16%,67%
BD2,"161,697",,,"135,051","170,019",,,,151,151,20.0,25%,,,,,,,,,,,,3%,14%,23%,142,North West,"29,667",16%,30%,13%,"36,400",3.0,10%,16%
BD3,"93,674",,,"79,079","93,999",,,,80,80,8.0,27%,,,,,,,,,,,,11%,19%,17%,175,North West,"33,205",14%,44%,7%,"31,300",3.0,21%,24%
BD4,"124,427",,,"86,000","138,314","196,500",,,127,127,17.0,35%,,,,,,,,,,,,10%,17%,23%,239,North West,"31,127",14%,38%,10%,"32,700",3.0,30%,18%
BD5,"110,418",,,,"112,091",,,,91,91,9.0,26%,,,,,,,,,,,,7%,18%,21%,185,North West,"31,969",15%,43%,7%,"30,700",3.0,29%,23%
BD6,"143,152",,,"114,497","157,088","234,227",,192,148,170,21.0,34%,,,,,,,,,,,,9%,17%,17%,137,North West,"29,771",16%,29%,12%,"35,100",3.0,15%,17%
BD7,"113,303",,,"87,472","122,265",,,,104,104,10.0,17%,,,,,,,,,,,,-6%,10%,11%,172,North West,"35,214",18%,36%,10%,"32,800",3.0,10%,27%
BD8,"104,399",,,"86,318",,,,,97,97,11.0,30%,,,,,,,,,,,,3%,4%,2%,165,North West,"31,707",15%,46%,9%,"32,400",3.0,23%,21%
BD9,"147,198",,,"96,265","160,362",,,,121,121,8.0,17%,529,,,,,,,,,4.3%,,-5%,18%,8%,139,North West,"28,512",20%,40%,16%,"36,100",3.0,9%,22%
BD10,"187,066",,,"151,357","197,787","316,064",,,200,200,16.0,24%,665,,,,,,,,,4.3%,,-5%,-2%,10%,176,North West,"25,632",19%,26%,19%,"38,900",3.0,18%,14%
BD11,"223,378",,,"142,171","233,240",,,,206,206,6.0,16%,,,,,,,,,,,,3%,21%,31%,94,North West,"10,971",24%,20%,22%,"42,100",3.0,8%,13%
BD12,"179,178",,,"124,468","179,989",,,,155,155,18.0,56%,,,,,,,,,,,,8%,8%,19%,140,North West,"16,821",15%,33%,11%,"36,600",3.0,14%,15%
BD13,"169,116",,,"113,952","178,629","288,041",,,166,166,18.0,23%,,,,,,,,,,,,3%,-2%,6%,103,North West,"24,810",19%,33%,18%,"40,900",3.0,8%,15%
BD14,"160,163",,,,"167,371",,,,153,153,5.0,23%,,,,,,,,,,,,-1%,10%,17%,107,North West,"8,860",20%,28%,18%,"36,900",3.0,12%,16%
BD15,"173,636",,,"122,121","201,263",,,,177,177,13.0,29%,,,,,,,,,,,,-2%,8%,17%,124,North West,"15,713",22%,27%,14%,"38,800",3.0,21%,13%
BD16,"208,021",,,"146,747","223,746","367,650",,,200,200,25.0,49%,702,,,,,,,,,4.1%,,-7%,14%,13%,81,North West,"25,301",31%,24%,29%,"44,200",3.0,10%,15%
BD17,"219,331",,,"155,879","253,839","416,146",,,211,211,20.0,39%,682,,,,,,,,,3.7%,,12%,20%,30%,118,North West,"17,992",25%,25%,28%,"42,100",3.0,10%,14%
BD18,"180,837",,,"145,323","192,110",,,,172,172,18.0,36%,590,,,,,,,,,3.9%,,-6%,6%,12%,149,North West,"27,201",27%,28%,22%,"38,600",3.0,15%,17%
BD19,"215,686",,,"123,017","209,761","344,750",,,184,184,17.0,32%,,,,,,,,,,,,2%,11%,18%,112,North West,"22,056",23%,23%,20%,"39,600",3.0,13%,15%
BD20,"228,494",,"108,061","175,288","237,056","363,406",,,207,207,33.0,32%,679,,,,,,,,,3.6%,,2%,13%,19%,69,North West,"35,738",24%,25%,26%,"41,500",3.0,5%,13%
BD21,"109,902",,,"89,945","117,945",,,,109,109,13.0,27%,516,,,,,,,,,5.6%,,7%,10%,15%,193,North West,"26,635",13%,38%,9%,"32,400",3.0,14%,22%
BD22,"174,454",,,"129,149","182,789","257,494",,,170,170,22.0,33%,646,,,,,,,,,4.4%,,4%,9%,14%,102,North West,"29,891",21%,25%,19%,"39,400",3.0,12%,15%
BD23,"295,350",,,"192,858","274,774","454,715",,,239,239,22.0,28%,751,,,,,,,,,3.1%,,3%,19%,21%,77,North West,"29,494",33%,19%,27%,"42,500",3.0,10%,17%
